,,,Nuclei,Word-final,Harmonic,SonSeq,Boundaries
,,,C1,C2,C3,C4,C5
aseta,aseta,1,,,,,
,ase=ta,0,1,,,,1
keikalla,keikalla,1,,,,,
,keik=alla,0,,1,,,1
poisti,poisti,1,,,,,
,pois=ti,0,1,,,,1
madridin,madridin,1,,,,,
,madrid=in,0,1,,,,1
karhuja,karhuja,1,,,,,
,karhu=ja,0,1,,,,1
hoitavan,hoitavan,1,,,,,
,hoitava=n,0,1,,,1,1
tulkitaan,tulkitaan,1,,,,,
,tulki=taan,0,,,,,1
opettajille,opettajille,1,,,,,
,opetta=jille,0,,,,,1
reipasta,reipasta,1,,,,,
,reipas=ta,0,1,,,,1
kanssani,kanssani,1,,,,,
,kan=ssa=ni,0,3,,,1,2
,kan=ssani,0,1,,,1,1
,kanssa=ni,0,1,,,,1
liittyvästä,liittyvAstA,1,,,,,
,liittyvA=stA,0,1,,,,1
keskinäisen,keskinAisen,1,,,,,
,keski=nA=isen,0,1,,,,2
,keski=nAisen,0,,,,,1
,keskinA=isen,0,,,,,1
lisättävä,lisAttAvA,1,,,,,
,lisA=ttAvA,0,,,,1,1
rekola,rekola,1,,,,,
,re=kola,0,1,,,,1
maaleista,maaleista,1,,,,,
,maa=le=ista,0,1,,,,2
,maa=leista,0,,,,,1
,maale=ista,0,,,,,1
rakentaneet,rakentaneet,1,,,,,
,raken=taneet,0,,,,,1
tehtävät,tehtAvAt,1,,,,,
,tehtAvA=t,0,1,,,1,1
vahingon,vahingon,1,,,,,
,vahingo=n,0,1,,,1,1
kapteenin,kapteenin,1,,,,,
,kapteeni=n,0,1,,,1,1
pahoinpitely,pahoin=pitely,1,,,,,1
,pahoinpitely,0,,,1,,
ryöstäjät,ryOstAjAt,1,,,,,
,ryOst=A=jAt,0,2,,,1,2
,ryOst=AjAt,0,,,,1,1
,ryOstA=jAt,0,1,,,,1
alentaminen,alentaminen,1,,,,,
,alen=taminen,0,,,,,1
surullista,surullista,1,,,,,
,suru=llista,0,,,,1,1
dianan,dianan,1,,,,,
,di=an=an,0,3,,,,2
,di=anan,0,1,,,,1
,dian=an,0,1,,,,1
siperian,siperian,1,,,,,
,si=peri=an,0,2,,,,2
,si=perian,0,1,,,,1
,siperi=an,0,1,,,,1
alempi,alempi,1,,,,,
,al=empi,0,1,,,,1
yrjölä,yrjOlA,1,,,,,
,yrjO=lA,0,1,,,,1
edistämiseksi,edistAmiseksi,1,,,,,
,edistA=miseksi,0,,,,,1
suorassa,suorassa,1,,,,,
,suora=ssa,0,1,,,1,1
konsultti,konsultti,1,,,,,
,konsul=tti,0,1,,,1,1
näsijärvi,nAsi=jArvi,1,,,,,1
,nA=si=jArvi,0,2,,,,2
,nA=sijArvi,0,1,,,,1
,nAsijArvi,0,,,,,
kännyköitä,kAnnykOitA,1,,,,,
,kAnnykO=itA,0,,,,,1
kaipaisi,kaipaisi,1,,,,,
,kaipa=isi,0,,,,,1
käytän,kAytAn,1,,,,,
,kAytA=n,0,1,,,1,1
lähettävät,lAhettAvAt,1,,,,,
,lAhe=ttAvA=t,0,1,,,2,2
,lAhe=ttAvAt,0,,,,1,1
,lAhettAvA=t,0,1,,,1,1
rajussa,rajussa,1,,,,,
,raju=ssa,0,1,,,1,1
puolesta,puolesta,1,,,,,
,puol=esta,0,,,,,1
venetsian,venetsian,1,,,,,
,vene=tsi=an,0,2,,,1,2
,vene=tsian,0,,,,1,1
,venetsi=an,0,1,,,,1
rahojaan,rahojaan,1,,,,,
,raho=ja=an,0,2,,,,2
,raho=jaan,0,,,,,1
,rahoja=an,0,1,,,,1
perheille,perheille,1,,,,,
,perhe=ille,0,,,,,1
irlantilainen,irlantilainen,1,,,,,
,irlanti=lainen,0,,,,,1
itälä,itAlA,1,,,,,
,itA=lA,0,1,,,,1
tammerfestin,tammerfestin,1,,,,,
,tammerfest=in,0,1,,,1,1
perusteluissa,perusteluissa,1,,,,,
,perus=telu=issa,0,,,,,2
,perus=teluissa,0,,,,,1
,perustelu=issa,0,,,,,1
kasvavaa,kasvavaa,1,,,,,
,kasva=vaa,0,,,,,1
tuloksetta,tuloksetta,1,,,,,
,tulo=kse=tta,0,2,,,2,2
,tulo=ksetta,0,,,,1,1
,tulokse=tta,0,1,,,1,1
visa,visa,1,,,,,
,vi=sa,0,2,,,,1
naisena,naisena,1,,,,,
,na=isen=a,0,2,,,,2
,na=isena,0,1,,,,1
,naisen=a,0,1,,,,1
viialassa,viialassa,1,,,,,
,viiala=ssa,0,1,,,1,1
motivaatiota,motivaatiota,1,,,,,
,motiv=aatio=ta,0,1,1,,,2
,motiv=aatiota,0,,1,,,1
,motivaatio=ta,0,1,,,,1
maansa,maansa,1,,,,,
,maan=sa,0,1,,,,1
jämijärven,jAmi=jArven,1,,,,,1
,jA=mi=jArven,0,2,,,,2
,jA=mijArven,0,1,,,,1
,jAmijArven,0,,,,,
arvostuksen,arvostuksen,1,,,,,
,arvo=stuksen,0,,,,,1
areenalla,areenalla,1,,,,,
,a=re=en=alla,0,3,,,,3
,a=re=enalla,0,2,,,,2
,a=reen=alla,0,1,,,,2
,a=reenalla,0,1,,,,1
,are=en=alla,0,1,,,,2
,are=enalla,0,,,,,1
,areen=alla,0,,,,,1
apurahat,apu=rahat,1,,,,,1
,a=pu=raha=t,0,3,,,1,3
,a=pu=rahat,0,2,,,,2
,a=puraha=t,0,2,,,1,2
,a=purahat,0,1,,,,1
,apu=raha=t,0,1,,,1,2
,apuraha=t,0,1,,,1,1
,apurahat,0,,,,,
toimihenkilöiden,toimi=henkilOiden,1,,,,,1
,toimi=henkilO=iden,0,,,,,2
,toimihenkilO=iden,0,,,1,,1
,toimihenkilOiden,0,,,1,,
kipeää,kipeAA,1,,,,,
,kipeA=A,0,1,,,,1
palkannut,palkannut,1,,,,,
,palkan=nut,0,1,,,,1
korjausta,korjausta,1,,,,,
,korjaus=ta,0,1,,,,1
vinkki,vinkki,1,,,,,
,vin=kki,0,2,,,1,1
avustukset,avustukset,1,,,,,
,avust=ukset,0,,,,1,1
porista,porista,1,,,,,
,pori=sta,0,1,,,,1
näkemyksensä,nAkemyksensA,1,,,,,
,nAkem=yksen=sA,0,1,1,,,2
,nAkem=yksensA,0,,1,,,1
,nAkemyksen=sA,0,1,,,,1
edistämään,edistAmAAn,1,,,,,
,edistA=mAAn,0,,,,,1
frankfurtissa,frankfurtissa,1,,,,,
,frankfurt=issa,0,,,,,1
polvensa,polvensa,1,,,,,
,polven=sa,0,1,,,,1
general,general,1,,,,,
,gene=r=al,0,2,,,1,2
,gene=ral,0,1,,,,1
,gener=al,0,1,,,,1
näyttelyitä,nAyttelyitA,1,,,,,
,nAyttely=itA,0,,,,,1
laajentamista,laajentamista,1,,,,,
,laajen=tamista,0,,,,,1
sijoittaja,sijoittaja,1,,,,,
,sijoit=taja,0,,,,,1
otsikko,otsikko,1,,,,,
,otsik=ko,0,1,1,,,1
hongkong,hongkong,1,,1,,,
,hon=gkong,0,2,1,,1,1
jonas,jonas,1,,,,,
,jo=n=as,0,3,,,1,2
,jo=nas,0,2,,,,1
,jon=as,0,2,,,,1
pielessä,pielessA,1,,,,,
,piel=essA,0,,,,,1
tärkeämpiä,tArkeAmpiA,1,,,,,
,tArkeA=mpi=A,0,2,,,1,2
,tArkeA=mpiA,0,,,,1,1
,tArkeAmpi=A,0,1,,,,1
näytöt,nAytOt,1,,,,,
,nAyt=O=t,0,2,,,1,2
,nAyt=Ot,0,1,,,,1
,nAytO=t,0,1,,,1,1
ostamalla,ostamalla,1,,,,,
,osta=malla,0,,,,,1
lopetettu,lopetettu,1,,,,,
,lopet=ettu,0,,,,,1
telakan,telakan,1,,,,,
,telaka=n,0,1,,,1,1
kaksoisvoiton,kaksois=voiton,1,,,,,1
,kaksois=voit=on,0,1,,,,2
,kaksoisvoit=on,0,1,,,,1
,kaksoisvoiton,0,,,,,
eilisessä,eilisessA,1,,,,,
,eil=isessA,0,,,,,1
markettien,markettien,1,,,,,
,market=tien,0,,,,,1
lentoon,lentoon,1,,,,,
,lento=on,0,1,,,,1
urheilijoiden,urheilijoiden,1,,,,,
,urheili=joiden,0,,,,,1
huoleen,huoleen,1,,,,,
,huol=een,0,,,,,1
euroalueella,euro=alueella,1,,,,,1
,euroalueella,0,,,,,
ehdottaa,ehdottaa,1,,,,,
,ehdot=taa,0,,,,,1
professorina,professorina,1,,,,,
,professori=na,0,1,,,,1
menestymisen,menestymisen,1,,,,,
,mene=sty=misen,0,1,,,,2
,mene=stymisen,0,,,,,1
,menesty=misen,0,,,,,1
henkilöille,henkilOille,1,,,,,
,henkilO=ille,0,,,,,1
sattuman,sattuman,1,,,,,
,sattu=man,0,1,,,,1
sosiaalityöntekijä,sosiaali=tyOn=tekijA,1,,,,,2
,sosiaali=tyOntekijA,0,,,,,1
,sosiaalityOn=tekijA,0,,,1,,1
,sosiaalityOntekijA,0,,,1,,
kunnalta,kunnalta,1,,,,,
,kunn=alta,0,1,,,1,1
ydinkeskustassa,ydin=keskustassa,1,,,,,1
,ydin=keskusta=ssa,0,1,,,1,2
,ydinkeskusta=ssa,0,1,,1,1,1
,ydinkeskustassa,0,,,1,,
saaja,saaja,1,,,,,
,saa=ja,0,1,,,,1
sairastuu,sairastuu,1,,,,,
,sairas=tuu,0,,,,,1
pahaksi,pahaksi,1,,,,,
,paha=ksi,0,1,,,1,1
johtajalle,johtajalle,1,,,,,
,johtaja=lle,0,1,,,1,1
puolenpäivän,puolen=pAivAn,1,,,,,1
,puol=en=pAivAn,0,1,,,,2
,puol=enpAivAn,0,,,,,1
,puolenpAivAn,0,,,1,,
mustan,mustan,1,,,,,
,musta=n,0,1,,,1,1
sävellyksiä,sAvellyksiA,1,,,,,
,sAvel=l=yksiA,0,1,,,1,2
,sAvel=lyksiA,0,,,,,1
,sAvell=yksiA,0,,,,1,1
karvian,karvian,1,,,,,
,kar=via=n,0,2,,,1,2
,kar=vian,0,1,,,,1
,karvia=n,0,1,,,1,1
elintason,elin=tason,1,,,,,1
,elintason,0,,,,,
mielipidesivulla,mieli=pide=sivulla,1,,,,,2
,mieli=pide=sivu=lla,0,1,,,1,3
,mieli=pidesivu=lla,0,1,,,1,2
,mieli=pidesivulla,0,,,,,1
,mielipide=sivu=lla,0,1,,,1,2
,mielipide=sivulla,0,,,,,1
,mielipidesivu=lla,0,1,,,1,1
,mielipidesivulla,0,,,,,
kaljaa,kaljaa,1,,,,,
,kal=ja=a,0,3,,,,2
,kal=jaa,0,1,,,,1
,kalja=a,0,1,,,,1
markkinointijohtaja,markkinointi=johtaja,1,,,,,1
,markkinointijohtaja,0,,,,,
volanen,volanen,1,,,,,
,vo=lan=en,0,3,,,,2
,vo=lanen,0,1,,,,1
,volan=en,0,1,,,,1
määräys,mAArAys,1,,,,,
,mAArA=ys,0,1,,,,1
leijonat,leijonat,1,,,,,
,leijon=at,0,1,,,,1
jaloilleen,jaloilleen,1,,,,,
,jalo=ille=en,0,1,,,,2
,jalo=illeen,0,,,,,1
,jaloille=en,0,1,,,,1
ryöstö,ryOstO,1,,,,,
,ryOst=O,0,1,,,1,1
tuotteisiin,tuotteisiin,1,,,,,
,tuot=teisiin,0,,,,,1
esityksissä,esityksissA,1,,,,,
,esit=yksi=ssA,0,1,,,1,2
,esit=yksissA,0,,,,,1
,esityksi=ssA,0,1,,,1,1
piispojen,piispojen,1,,,,,
,piisp=ojen,0,,1,,1,1
kemiran,kemiran,1,,,,,
,kemira=n,0,1,,,1,1
aulassa,aulassa,1,,,,,
,aula=ssa,0,1,,,1,1
financial,financial,1,,,,,
,fin=an=cial,0,2,,,,2
,fin=ancial,0,1,,,,1
,finan=cial,0,,,,,1
sävyyn,sAvyyn,1,,,,,
,sAvy=yn,0,1,,,,1
helpottanut,helpottanut,1,,,,,
,helpo=ttanut,0,,,,1,1
menetelmää,menetelmAA,1,,,,,
,menetelmA=A,0,1,,,,1
varkauden,varkauden,1,,,,,
,var=kauden,0,1,,,,1
joukoin,joukoin,1,,,,,
,jouko=in,0,1,,,,1
henkilövahinkoja,henkilO=vahinkoja,1,,,,,1
,henkilO=vahinko=ja,0,1,,,,2
,henkilOvahinko=ja,0,1,,1,,1
,henkilOvahinkoja,0,,,1,,
tyson,tyson,1,,,1,,
,tys=on,0,2,,,,1
oululainen,oululainen,1,,,,,
,oulu=lainen,0,,,,,1
maritta,maritta,1,,,,,
,mari=tta,0,1,,,1,1
alaisuuteen,alaisuuteen,1,,,,,
,alais=uuteen,0,,,,,1
kirkasta,kirkasta,1,,,,,
,kirkas=ta,0,1,,,,1
järjestettävän,jArjestettAvAn,1,,,,,
,jArjes=tettAvA=n,0,1,,,1,2
,jArjes=tettAvAn,0,,,,,1
,jArjestettAvA=n,0,1,,,1,1
viisaus,viisaus,1,,,,,
,vii=sa=us,0,2,,,,2
,vii=saus,0,,,,,1
,viisa=us,0,1,,,,1
turkulaiset,turkulaiset,1,,,,,
,turku=laiset,0,,,,,1
helkovaara,helko=vaara,1,,,,,1
,hel=ko=vaara,0,2,,,,2
,hel=kovaara,0,1,,,,1
,helkovaara,0,,,,,
asutusta,asutusta,1,,,,,
,asu=tusta,0,,,,,1
maanantaisen,maanantaisen,1,,,,,
,maanantai=sen,0,1,,,,1
samppanjaa,samppanjaa,1,,,,,
,samppanja=a,0,1,,,,1
avaruudessa,avaruudessa,1,,,,,
,avar=uudessa,0,,,,,1
johtaminen,johtaminen,1,,,,,
,joh=taminen,0,1,1,,,1
erästä,erAstA,1,,,,,
,erA=stA,0,1,,,,1
luovaa,luovaa,1,,,,,
,luo=vaa,0,,,,,1
tasapainoinen,tasa=painoinen,1,,,,,1
,tasa=paino=inen,0,,,,,2
,tasapaino=inen,0,,,,,1
,tasapainoinen,0,,,,,
lähtökohdista,lAhtO=kohdista,1,,,,,1
,lAhtO=kohdis=ta,0,1,,,,2
,lAhtOkohdis=ta,0,1,,1,,1
,lAhtOkohdista,0,,,1,,
suunnitellut,suunnitellut,1,,,,,
,suunni=te=llut,0,2,,,1,2
,suunni=tellut,0,,,,,1
,suunnite=llut,0,1,,,1,1
projekteja,projekteja,1,,,,,
,pro=jekte=ja,0,2,,,,2
,pro=jekteja,0,1,,,,1
,projekte=ja,0,1,,,,1
ampumalla,ampumalla,1,,,,,
,ampu=malla,0,,,,,1
kauppakamarin,kauppa=kamarin,1,,,,,1
,kauppa=kamari=n,0,1,,,1,2
,kauppakamari=n,0,1,,,1,1
,kauppakamarin,0,,,,,
kirjoittivat,kirjoittivat,1,,,,,
,kirjoi=tti=vat,0,2,,,1,2
,kirjoi=ttivat,0,,,,1,1
,kirjoitti=vat,0,1,,,,1
säässä,sAAssA,1,,,,,
,sAA=ssA,0,1,,,1,1
suosituksen,suosituksen,1,,,,,
,suosi=t=uksen,0,1,,,1,2
,suosi=tuksen,0,,,,,1
,suosit=uksen,0,,,,,1
jalkapalloliigassa,jalka=pallo=liigassa,1,,,,,2
,jalka=pallo=liiga=ssa,0,1,,,1,3
,jalka=palloliiga=ssa,0,1,,,1,2
,jalka=palloliigassa,0,,,,,1
,jalkapallo=liiga=ssa,0,1,,,1,2
,jalkapallo=liigassa,0,,,,,1
,jalkapalloliiga=ssa,0,1,,,1,1
,jalkapalloliigassa,0,,,,,
saattaisivat,saattaisivat,1,,,,,
,saattaisi=vat,0,1,,,,1
vaaralliseksi,vaaralliseksi,1,,,,,
,vaarall=iseksi,0,,,,1,1
kuvaavaa,kuvaavaa,1,,,,,
,kuvaa=vaa,0,,,,,1
ulkopuolelta,ulko=puolelta,1,,,,,1
,ulko=puol=elta,0,,,,,2
,ulkopuol=elta,0,,,,,1
,ulkopuolelta,0,,,,,
supertähti,super=tAhti,1,,,,,1
,su=per=tAhti,0,2,,,,2
,su=pertAhti,0,1,,,,1
,supertAhti,0,,,1,,
ykkösessä,ykkOsessA,1,,,,,
,ykkOs=essA,0,,,,,1
forsman,forsman,1,,,,,
,f=ors=man,0,3,1,,1,2
,f=orsman,0,1,1,,1,1
,fors=man,0,2,,,,1
mainonta,mainonta,1,,,,,
,maino=n=ta,0,2,,,1,2
,maino=nta,0,1,,,1,1
,mainon=ta,0,1,,,,1
maatilan,maa=tilan,1,,,,,1
,maatilan,0,,,,,
juodaan,juodaan,1,,,,,
,juo=da=an,0,2,,,,2
,juo=daan,0,,,,,1
,juoda=an,0,1,,,,1
tulleista,tulleista,1,,,,,
,tulle=ista,0,,,,,1
pääsystä,pAAsystA,1,,,,,
,pAAsy=stA,0,1,,,,1
piispa,piispa,1,,,,,
,piisp=a,0,1,1,,1,1
kaaos,kaaos,1,,,,,
,kaa=os,0,1,,,,1
illat,illat,1,,,,,
,illa=t,0,1,,,1,1
valmistusta,valmistusta,1,,,,,
,valmis=tusta,0,,,,,1
riesa,riesa,1,,,,,
,ri=esa,0,1,,,,1
vaihtoivat,vaihtoivat,1,,,,,
,vaihto=ivat,0,,,,,1
tuntemattomasta,tuntemattomasta,1,,,,,
,tunte=matt=oma=sta,0,2,,,1,3
,tunte=matt=omasta,0,1,,,1,2
,tunte=mattoma=sta,0,1,,,,2
,tunte=mattomasta,0,,,,,1
,tuntematt=oma=sta,0,1,,,1,2
,tuntematt=omasta,0,,,,1,1
,tuntemattoma=sta,0,1,,,,1
myyntijohtaja,myynti=johtaja,1,,,,,1
,myyntijohtaja,0,,,1,,
keskikenttäpelaaja,keski=kenttA=pelaaja,1,,,,,2
,keski=kenttApelaaja,0,,,1,,1
,keskikenttA=pelaaja,0,,,,,1
,keskikenttApelaaja,0,,,1,,
kaunotar,kaunotar,1,,,,,
,kau=no=tar,0,2,,,,2
,kau=notar,0,,,,,1
,kauno=tar,0,1,,,,1
hiihtojen,hiihtojen,1,,,,,
,hiihto=jen,0,1,,,,1
juoksija,juoksija,1,,,,,
,juo=ksi=ja,0,2,,,1,2
,juo=ksija,0,,,,1,1
,juoksi=ja,0,1,,,,1
pujottelun,pujottelun,1,,,,,
,puj=ottelu=n,0,2,1,,1,2
,puj=ottelun,0,1,1,,,1
,pujottelu=n,0,1,,,1,1
tämänvuotisen,tAmAn=vuotisen,1,,,,,1
,tAmAn=vuotis=en,0,1,,,,2
,tAmAnvuotis=en,0,1,,1,,1
,tAmAnvuotisen,0,,,1,,
seteleitä,seteleitA,1,,,,,
,setel=eitA,0,,,,,1
työlle,tyOlle,1,,,,,
,tyO=lle,0,1,,,1,1
lohja,lohja,1,,,,,
,l=ohja,0,1,,,1,1
pankeille,pankeille,1,,,,,
,pan=ke=ille,0,2,,,,2
,pan=keille,0,1,,,,1
,panke=ille,0,,,,,1
mestareita,mestareita,1,,,,,
,mestar=eita,0,,,,,1
ammattioppilaitoksen,ammatti=oppi=laitoksen,1,,,,,2
,ammatti=oppilaitoksen,0,,,,,1
,ammattioppi=laitoksen,0,,,,,1
,ammattioppilaitoksen,0,,,,,
yhteisöä,yhteisOA,1,,,,,
,yhteisO=A,0,1,,,,1
vanavedessä,vana=vedessA,1,,,,,1
,van=a=ved=essA,0,3,,,,3
,van=a=vedessA,0,2,,,,2
,van=aved=essA,0,1,,,,2
,van=avedessA,0,1,,1,,1
,vana=ved=essA,0,1,,,,2
,vanaved=essA,0,,,,,1
,vanavedessA,0,,,1,,
sijoittamisesta,sijoittamisesta,1,,,,,
,sijoit=tamisesta,0,,,,,1
alueellisia,alueellisia,1,,,,,
,alue=ell=isia,0,1,,,1,2
,alue=ellisia,0,,,,,1
,alueell=isia,0,,,,1,1
hiljaisen,hiljaisen,1,,,,,
,hiljais=en,0,1,,,,1
kampanjaan,kampanjaan,1,,,,,
,kampanja=an,0,1,,,,1
muistojen,muistojen,1,,,,,
,muisto=jen,0,1,,,,1
veroista,veroista,1,,,,,
,vero=ista,0,,,,,1
kilpi,kilpi,1,,,,,
,kilp=i,0,2,1,,,1
annetut,annetut,1,,,,,
,anne=tut,0,1,,,,1
museota,museota,1,,,,,
,museo=ta,0,1,,,,1
viestintäjohtaja,viestintA=johtaja,1,,,,,1
,viesti=n=tA=johtaja,0,2,,,1,3
,viesti=n=tAjohtaja,0,1,,1,1,2
,viesti=ntA=johtaja,0,1,,,1,2
,viesti=ntAjohtaja,0,,,1,1,1
,viestin=tA=johtaja,0,1,,,,2
,viestin=tAjohtaja,0,,,1,,1
,viestintAjohtaja,0,,,1,,
näkyvää,nAkyvAA,1,,,,,
,nAkyvA=A,0,1,,,,1
aiheutuvat,aiheutuvat,1,,,,,
,aiheu=tuvat,0,,,,,1
laajuus,laajuus,1,,,,,
,laaju=us,0,1,,,,1
busseja,busseja,1,,,,,
,busse=ja,0,1,,,,1
ostoa,ostoa,1,,,,,
,osto=a,0,1,,,,1
käännös,kAAnnOs,1,,,,,
,kAAn=n=Os,0,2,,,1,2
,kAAn=nOs,0,1,,,,1
,kAAnn=Os,0,1,,,1,1
pihasta,pihasta,1,,,,,
,piha=sta,0,1,,,,1
spielberg,spielberg,1,,1,,,
,s=piel=berg,0,2,1,,1,2
,s=pielberg,0,1,1,,1,1
,spiel=berg,0,1,1,,,1
konsernijohtaja,konserni=johtaja,1,,,,,1
,konsernijohtaja,0,,,,,
kuivan,kuivan,1,,,,,
,kuiva=n,0,1,,,1,1
maakuntaa,maa=kuntaa,1,,,,,1
,maa=kunta=a,0,1,,,,2
,maakunta=a,0,1,,,,1
,maakuntaa,0,,,,,
tautiin,tautiin,1,,,,,
,tauti=in,0,1,,,,1
annemari,anne=mari,1,,,,,1
,annemari,0,,,,,
volkswagen,volkswagen,1,,,,,
,volkswag=en,0,1,1,,,1
neuvotteleva,neuvotteleva,1,,,,,
,neuvo=tteleva,0,,,,1,1
rolling,rolling,1,,1,,,
,ro=ll=ing,0,3,1,,1,2
,ro=lling,0,2,1,,1,1
,roll=ing,0,2,1,,1,1
syyllisyyttä,syyllisyyttA,1,,,,,
,syy=llis=yyttA,0,1,,,1,2
,syy=llisyyttA,0,,,,1,1
,syyllis=yyttA,0,,,,,1
ravintoloitsija,ravintoloitsija,1,,,,,
,ravintolo=itsi=ja,0,1,,,,2
,ravintolo=itsija,0,,,,,1
,ravintoloitsi=ja,0,1,,,,1
kaupunginhallitukselle,kaupungin=hallitukselle,1,,,,,1
,kaupungin=halli=tukse=lle,0,1,,,1,3
,kaupungin=halli=tukselle,0,,,,,2
,kaupungin=hallitukse=lle,0,1,,,1,2
,kaupunginhalli=tukse=lle,0,1,,,1,2
,kaupunginhalli=tukselle,0,,,,,1
,kaupunginhallitukse=lle,0,1,,,1,1
,kaupunginhallitukselle,0,,,,,
tiistaista,tiistaista,1,,,,,
,tiistai=sta,0,1,,,,1
vastuunsa,vastuunsa,1,,,,,
,vastuu=nsa,0,1,,,1,1
huomaan,huomaan,1,,,,,
,huoma=an,0,1,,,,1
kokonaiskustannukset,kokonais=kustannukset,1,,,,,1
,kokonaiskustannukset,0,,,,,
puolikkaan,puolikkaan,1,,,,,
,puoli=kkaan,0,,,,1,1
huutokaupassa,huuto=kaupassa,1,,,,,1
,huu=to=kaupa=ssa,0,2,,,1,3
,huu=to=kaupassa,0,1,,,,2
,huu=tokaupa=ssa,0,1,,,1,2
,huu=tokaupassa,0,,,,,1
,huuto=kaupa=ssa,0,1,,,1,2
,huutokaupa=ssa,0,1,,,1,1
,huutokaupassa,0,,,,,
pelkillä,pelkillA,1,,,,,
,pel=ki=llA,0,3,,,1,2
,pel=killA,0,1,,,,1
,pelki=llA,0,1,,,1,1
paikkainen,paikkainen,1,,,,,
,paikka=inen,0,,,,,1
räjähdysmäisesti,rAjAhdysmAisesti,1,,,,,
,rAjAhdys=mA=isesti,0,1,,,,2
,rAjAhdys=mAisesti,0,,,,,1
,rAjAhdysmA=isesti,0,,,,,1
kumppaneiden,kumppaneiden,1,,,,,
,kum=pp=an=eiden,0,3,2,,1,3
,kum=pp=aneiden,0,2,2,,1,2
,kum=ppan=eiden,0,2,1,,1,2
,kum=ppaneiden,0,1,1,,1,1
,kumpp=an=eiden,0,2,1,,1,2
,kumpp=aneiden,0,1,1,,1,1
,kumppan=eiden,0,,,,,1
ominaista,ominaista,1,,,,,
,omi=na=ista,0,1,,,,2
,omi=naista,0,,,,,1
,omina=ista,0,,,,,1
eurossa,eurossa,1,,,,,
,euro=ssa,0,1,,,1,1
loputtomasti,loputtomasti,1,,,,,
,lopu=t=tomasti,0,1,,,1,2
,lopu=ttomasti,0,,,,1,1
,loput=tomasti,0,,,,,1
kiinteistövero,kiinteistO=vero,1,,,,,1
,kiinteistOvero,0,,,1,,
laulajatar,laulajatar,1,,,,,
,laulaja=tar,0,1,,,,1
kesämökin,kesA=mOkin,1,,,,,1
,kesA=mOk=in,0,2,1,,,2
,kesAmOk=in,0,1,1,,,1
,kesAmOkin,0,,,,,
pursiainen,pursiainen,1,,,,,
,pur=sia=inen,0,1,,,,2
,pur=siainen,0,1,,,,1
,pursia=inen,0,,,,,1
aiheutui,aiheutui,1,,,,,
,aiheu=tui,0,,,,,1
lauantaihin,lauantaihin,1,,,,,
,lauantai=hi=n,0,2,,,1,2
,lauantai=hin,0,1,,,,1
,lauantaihi=n,0,1,,,1,1
ryöstäjä,ryOstAjA,1,,,,,
,ryOst=AjA,0,,,,1,1
polkupyörän,polku=pyOrAn,1,,,,,1
,pol=ku=pyOrA=n,0,3,,,1,3
,pol=ku=pyOrAn,0,2,,,,2
,pol=kupyOrA=n,0,2,,1,1,2
,pol=kupyOrAn,0,1,,1,,1
,polku=pyOrA=n,0,1,,,1,2
,polkupyOrA=n,0,1,,1,1,1
,polkupyOrAn,0,,,1,,
muuttuisi,muuttuisi,1,,,,,
,muut=tui=si,0,1,,,,2
,muut=tuisi,0,,,,,1
,muuttui=si,0,1,,,,1
käytävillä,kAytAvillA,1,,,,,
,kAytA=vi=llA,0,2,,,1,2
,kAytA=villA,0,,,,,1
,kAytAvi=llA,0,1,,,1,1
potee,potee,1,,,,,
,po=tee,0,1,,,,1
pisteessä,pisteessA,1,,,,,
,piste=essA,0,,,,,1
kehittämässä,kehittAmAssA,1,,,,,
,kehit=tA=mAssA,0,1,,,,2
,kehit=tAmAssA,0,,,,,1
,kehittA=mAssA,0,,,,,1
mielekästä,mielekAstA,1,,,,,
,miel=ekAs=tA,0,1,,,,2
,miel=ekAstA,0,,,,,1
,mielekAs=tA,0,1,,,,1
palvelualojen,palvelu=alojen,1,,,,,1
,palvelualojen,0,,,,,
tuottaminen,tuottaminen,1,,,,,
,tuot=taminen,0,,,,,1
remonttiryhmän,remontti=ryhmAn,1,,,,,1
,remontti=ryhmA=n,0,1,,,1,2
,remonttiryhmA=n,0,1,,1,1,1
,remonttiryhmAn,0,,,1,,
suostuneet,suostuneet,1,,,,,
,suostu=neet,0,,,,,1
hartwall,hartwall,1,,,,1,
,har=t=wall,0,3,,,2,2
,har=twall,0,2,,,1,1
,hart=wall,0,2,,,1,1
tulijat,tulijat,1,,,,,
,tuli=jat,0,1,,,,1
jalkapalloilussa,jalka=palloilussa,1,,,,,1
,jalka=palloilu=ssa,0,1,,,1,2
,jalkapalloilu=ssa,0,1,,,1,1
,jalkapalloilussa,0,,,,,
rikotaan,rikotaan,1,,,,,
,riko=taan,0,,,,,1
omistusta,omistusta,1,,,,,
,omistus=ta,0,1,,,,1
tehtäväänsä,tehtAvAAnsA,1,,,,,
,tehtAvA=A=nsA,0,2,,,1,2
,tehtAvA=AnsA,0,,,,,1
,tehtAvAA=nsA,0,1,,,1,1
hyvinkäällä,hyvinkAAllA,1,,,,,
,hyvin=kAA=llA,0,1,,,1,2
,hyvin=kAAllA,0,,,,,1
,hyvinkAA=llA,0,1,,,1,1
luullaan,luullaan,1,,,,,
,luu=lla=an,0,2,,,1,2
,luu=llaan,0,,,,1,1
,luulla=an,0,1,,,,1
yrityksen,yrityksen,1,,,,,
,yrit=yksen,0,,,,,1
