,,,Nuclei,Word-final,Harmonic,SonSeq,Boundaries
,,,C1,C2,C3,C4,C5
,tyO=vAen=opisto=n,0,1,,,1,3
,tyO=vAenopisto=n,0,1,,1,1,2
,tyO=vAenopiston,0,,,1,,1
,tyOvAen=opisto=n,0,1,,,1,2
,tyOvAen=opiston,0,,,,,1
,tyOvAenopisto=n,0,1,,1,1,1
,tyOvAenopiston,0,,,1,,
viranomaisia,viran=omaisia,1,,,,,1
,viran=oma=isia,0,,,,,2
,viranoma=isia,0,,,,,1
,viranomaisia,0,,,,,
yksimielisyyteen,yksi=mielisyyteen,1,,,,,1
,yksi=mieli=syy=teen,0,,,,,3
,yksi=mieli=syyteen,0,,,,,2
,yksi=mielisyy=teen,0,,,,,2
,yksimieli=syy=teen,0,,,,,2
,yksimieli=syyteen,0,,,,,1
,yksimielisyy=teen,0,,,,,1
,yksimielisyyteen,0,,,,,
maajoukkueeseen,maa=joukkueeseen,1,,,,,1
,maa=joukkue=eseen,0,,,,,2
,maajoukkue=eseen,0,,,,,1
,maajoukkueeseen,0,,,,,
pelimies,peli=mies,1,,,,,1
,pelimies,0,,,,,
paraikaa,paraikaa,1,,,,,
,par=aikaa,0,1,,,,1
mielenosoitus,mielen=osoitus,1,,,,,1
,mielenosoitus,0,,,,,
ahlström,ahlstrOm,1,,1,1,,
,ahl=strOm,0,2,1,,1,1
vakuutusyhtiöiden,vakuutus=yhtiOiden,1,,,,,1
,vakuutus=yhtiO=iden,0,,,,,2
,vakuutusyhtiO=iden,0,,,1,,1
,vakuutusyhtiOiden,0,,,1,,
ihmisoikeuksia,ihmis=oikeuksia,1,,,,,1
,ihmis=oike=uksia,0,,,,,2
,ihmisoike=uksia,0,,,,,1
,ihmisoikeuksia,0,,,,,
puoluekokous,puolue=kokous,1,,,,,1
,puoluekokous,0,,,,,
järventie,jArven=tie,1,,,,,1
,jArventie,0,,,,,
päätöserässä,pAAtOs=erAssA,1,,,,,1
,pAAtOserAssA,0,,,,,
puolenyön,puolen=yOn,1,,,,,1
,puol=en=yO=n,0,2,,,1,3
,puol=en=yOn,0,1,,,,2
,puol=enyO=n,0,1,,,1,2
,puol=enyOn,0,,,,,1
,puolen=yO=n,0,1,,,1,2
,puolenyO=n,0,1,,1,1,1
,puolenyOn,0,,,1,,
haapaniemi,haapa=niemi,1,,,,,1
,haapaniemi,0,,,,,
kolmasosan,kolmas=osan,1,,,,,1
,kolmasosan,0,,,,,
kaupunginosan,kaupungin=osan,1,,,,,1
,kaupunginosan,0,,,,,
jääkiekkoa,jAA=kiekkoa,1,,,,,1
,jAA=kiekko=a,0,1,,,,2
,jAAkiekko=a,0,1,,1,,1
,jAAkiekkoa,0,,,1,,
kuntayhtymän,kunta=yhtymAn,1,,,,,1
,kunta=yhtymA=n,0,1,,,1,2
,kuntayhtymA=n,0,1,,1,1,1
,kuntayhtymAn,0,,,1,,
erinomaisen,erinomaisen,1,,,,,
,erinoma=isen,0,,,,,1
kansanäänestyksessä,kansan=AAnestyksessA,1,,,,,1
,kansanAAnestyksessA,0,,,1,,
kansallisoopperan,kansallis=oopperan,1,,,,,1
,kansallis=ooppera=n,0,1,,,1,2
,kansallisooppera=n,0,1,,,1,1
,kansallisoopperan,0,,,,,
autourheilu,auto=urheilu,1,,,,,1
,autourheilu,0,,,,,
mielenosoitukset,mielen=osoitukset,1,,,,,1
,mielen=osoit=ukset,0,,,,,2
,mielenosoit=ukset,0,,,,,1
,mielenosoitukset,0,,,,,
vastaanottokeskuksen,vastaan=otto=keskuksen,1,,,,,2
,vastaan=ottokeskuksen,0,,,,,1
,vastaanotto=keskuksen,0,,,,,1
,vastaanottokeskuksen,0,,,,,
nurmentaus,nurmen=taus,1,,,,,1
,n=ur=men=taus,0,3,,,1,3
,n=ur=mentaus,0,2,,,1,2
,n=urmen=taus,0,1,,,1,2
,n=urmentaus,0,1,,,1,1
,nur=men=taus,0,2,,,,2
,nur=mentaus,0,1,,,,1
,nurmentaus,0,,,,,
kristinuskon,kristin=uskon,1,,,,,1
,kristinuskon,0,,,,,
metsänomistajien,metsAn=omistajien,1,,,,,1
,metsA=n=omista=jien,0,1,,,1,3
,metsA=n=omistajien,0,1,,,1,2
,metsA=nomista=jien,0,,,,,2
,metsA=nomistajien,0,,,,,1
,metsAn=omista=jien,0,,,,,2
,metsAnomista=jien,0,,,1,,1
,metsAnomistajien,0,,,1,,
kirvesniemi,kirves=niemi,1,,,,,1
,kirvesniemi,0,,,,,
sosiaalidemokraattisen,sosiaali=demokraattisen,1,,,,,1
,sosiaali=demokraat=t=isen,0,1,,,1,3
,sosiaali=demokraat=tisen,0,,,,,2
,sosiaali=demokraatt=isen,0,,,,1,2
,sosiaalidemokraat=t=isen,0,1,,,1,2
,sosiaalidemokraat=tisen,0,,,,,1
,sosiaalidemokraatt=isen,0,,,,1,1
,sosiaalidemokraattisen,0,,,,,
yhteisymmärrykseen,yhteis=ymmArrykseen,1,,,,,1
,yhteis=ymmArr=ykseen,0,,,,1,2
,yhteisymmArr=ykseen,0,,,,1,1
,yhteisymmArrykseen,0,,,,,
mielenosoituksia,mielen=osoituksia,1,,,,,1
,mielen=osoit=uksia,0,,,,,2
,mielenosoit=uksia,0,,,,,1
,mielenosoituksia,0,,,,,
avauserässä,avaus=erAssA,1,,,,,1
,avauserAssA,0,,,1,,
virkamiehen,virka=miehen,1,,,,,1
,virkamiehen,0,,,,,
talouselämän,talous=elAmAn,1,,,,,1
,talous=elAmA=n,0,1,,,1,2
,talouselAmA=n,0,1,,1,1,1
,talouselAmAn,0,,,1,,
suoniemi,suo=niemi,1,,,,,1
,suoniemi,0,,,,,
nuorimies,nuori=mies,1,,,,,1
,nuorimies,0,,,,,
henkilöautoa,henkilO=autoa,1,,,,,1
,henkilO=auto=a,0,1,,,,2
,henkilOauto=a,0,1,,1,,1
,henkilOautoa,0,,,1,,
lisätietoja,lisA=tietoja,1,,,,,1
,lisA=tieto=ja,0,1,,,,2
,lisAtieto=ja,0,1,,1,,1
,lisAtietoja,0,,,1,,
pohjoisosassa,pohjois=osassa,1,,,,,1
,pohjoisosassa,0,,,,,
särkänniemi,sArkAn=niemi,1,,,,,1
,sArkAnniemi,0,,,,,
ulkomaankauppaministeri,ulko=maan=kauppa=ministeri,1,,,,,3
,ulko=maan=kauppaministeri,0,,,,,2
,ulko=maankauppa=ministeri,0,,,,,2
,ulko=maankauppaministeri,0,,,,,1
,ulkomaan=kauppa=ministeri,0,,,,,2
,ulkomaan=kauppaministeri,0,,,,,1
,ulkomaankauppa=ministeri,0,,,,,1
,ulkomaankauppaministeri,0,,,,,
suomenkielinen,suomen=kielinen,1,,,,,1
,suomen=kiel=inen,0,,,,,2
,suomenkiel=inen,0,,,,,1
,suomenkielinen,0,,,,,
valtatie,valta=tie,1,,,,,1
,valtatie,0,,,,,
osanottajia,osan=ottajia,1,,,,,1
,osan=ot=tajia,0,1,,,,2
,osanot=tajia,0,,,,,1
,osanottajia,0,,,,,
erinomaista,erinomaista,1,,,,,
,erinoma=ista,0,,,,,1
hallitusohjelman,hallitus=ohjelman,1,,,,,1
,hallitus=ohjelma=n,0,1,,,1,2
,hallitusohjelma=n,0,1,,,1,1
,hallitusohjelman,0,,,,,
ennakkotietojen,ennakko=tietojen,1,,,,,1
,ennakko=tieto=jen,0,1,,,,2
,ennakkotieto=jen,0,1,,,,1
,ennakkotietojen,0,,,,,
lindgren,lindgren,1,,,,,
,lind=gren,0,2,,,,1
tavanomainen,tavan=omainen,1,,,,,1
